Feature,Importance
Press3_Temp,0.00040000000000000034
Cure_Temp,0.00010000000000000009
Press2_Pressure,-0.00020000000000000017
Press2_Time,-0.0006000000000000005
Press2_Temp,-0.0007000000000000006
Press3_Time,-0.0008000000000000007
Anneal_Temp,-0.0008000000000000007
Press1_Temp,-0.0015500000000000015
Press1_Time,-0.0016000000000000014
Press1_Pressure,-0.0018500000000000016
Press3_Pressure,-0.002250000000000002
Anneal_Time,-0.002250000000000002
CZ_Concentration,-0.002300000000000002
Cure_Time,-0.0030000000000000027
CZ_Roughness,-0.0038000000000000035
